id,name,style_specific,style,abv,ibu,rating
11,Monk's Blood,Belgian Dark Ale,other ale,0.083,35,3.6642920193445216
10,Brew Free! or Die IPA,American IPA,IPA,0.07,65,3.6938417051818773
9,Hell or High Watermelon Wheat,Fruit / Vegetable Beer,other ale,0.049,17,2.4725375607520625
2519,Bimini Twist,American IPA,IPA,0.07,82,4.426335952236639
2518,Beach Blonde,American Blonde Ale,other ale,0.05,15,3.425710215761533
2517,Rod Bender Red,American Amber / Red Ale,other ale,0.059,16,3.5481986626811883
2545,Passion Fruit Prussia,Berliner Weissbier,other ale,0.035,11,3.458811264023693
2544,Send Help,American Blonde Ale,other ale,0.045,18,3.629440571355304
2324,Cast Iron Oatmeal Brown,American Brown Ale,dark ale,0.055,29,3.6934476272003254
2288,Reprise Centennial Red,American Amber / Red Ale,other ale,0.06,25,3.9874316762427453
2287,Alter Ego,American Black Ale,other ale,0.055,29,3.7437366262432774
2286,Divided Sky,American IPA,IPA,0.065,62,2.71175194116025
2285,Resurrected,American IPA,IPA,0.065,69,3.1108396082607928
1870,Contact High,American Pale Wheat Ale,other ale,0.05,28,2.050001358602551
2603,Galaxyfest,American IPA,IPA,0.065,52,2.1549512962461206
2602,Citrafest,American IPA,IPA,0.05,45,3.1744737435323565
2220,Barn Yeti,Belgian Strong Dark Ale,other ale,0.09,16,3.906178473142056
2219,Scarecrow,American IPA,IPA,0.069,65,3.8248741639323134
2218,Ironman,English Strong Ale,other ale,0.09,50,3.2531870908366103
2217,Honey Kolsch,Kölsch,other ale,0.046,15,3.292606426318758
2216,Copperhead Amber,Belgian Dark Ale,other ale,0.052,18,3.378074248289331
972,Rude Parrot IPA,American IPA,IPA,0.059,75,3.9717301463122756
866,British Pale Ale (2010),English Pale Ale,other ale,0.054,30,4.104496212725664
48,British Pale Ale,English Pale Ale,other ale,0.054,30,3.27268522001718
47,Ballz Deep Double IPA,American Double / Imperial IPA,IPA,0.084,82,4.245143158337728
1583,Wolfman's Berliner,Berliner Weissbier,other ale,0.038,23,2.898856494228174
1165,Colorado Native,American Amber / Red Lager,lager,0.055,26,2.5386833752050757
431,Colorado Native (2011),American Amber / Red Lager,lager,0.055,26,2.361801886775314
516,Jockamo IPA,American IPA,IPA,0.065,52,2.439404160950675
515,Purple Haze,Fruit / Vegetable Beer,other ale,0.042,13,3.9891056398799427
514,Abita Amber,American Amber / Red Lager,lager,0.045,17,2.8548377601072525
2540,Citra Ass Down,American IPA,IPA,0.0819999999999999,68,4.066885187700256
2539,The Brown Note,American Brown Ale,dark ale,0.05,20,3.550572349081405
2686,Citra Ass Down,American Double / Imperial IPA,IPA,0.08,68,4.3435179920847125
2685,London Balling,English Barleywine,other ale,0.125,80,2.4173868711081408
2684,35 K,Milk / Sweet Stout,dark ale,0.077,25,4.130575281359701
2683,A Beer,American Pale Ale (APA),other ale,0.042,42,2.9818557525127143
2682,Rules are Rules,German Pilsener,lager,0.05,25,3.241228532114924
2681,Flesh Gourd'n,Pumpkin Ale,other ale,0.066,21,3.3825560020948955
2680,Sho'nuff,Belgian Pale Ale,other ale,0.04,13,3.833820823782921
2679,Bloody Show,American Pilsner,lager,0.055,17,3.830839307935744
2678,Rico Sauvin,American Double / Imperial IPA,IPA,0.076,68,4.684837282478751
2677,Coq de la Marche,Saison / Farmhouse Ale,other ale,0.051,38,3.4832393588479817
2676,Kamen Knuddeln,American Wild Ale,other ale,0.065,29,3.193005567086523
2675,Pile of Face,American IPA,IPA,0.06,65,3.3210560474648947
2674,The Brown Note,English Brown Ale,dark ale,0.05,20,3.5655636377684257
1594,Maylani's Coconut Stout,American Stout,dark ale,0.053,35,4.358624396102716
1162,Oatmeal PSA,American Pale Ale (APA),other ale,0.05,35,3.5229822922485914
1137,Pre Flight Pilsner,American Pilsner,lager,0.052,33,1.5866615100036938
2403,P-Town Pilsner,American Pilsner,lager,0.04,20,3.2881715286764783
2402,Klickitat Pale Ale,American Pale Ale (APA),other ale,0.053,36,2.519041712065387
2401,Yellow Wolf Imperial IPA,American Double / Imperial IPA,IPA,0.0819999999999999,103,4.742257382221992
1921,Freeride APA,American Pale Ale (APA),other ale,0.053,40,3.019404145193118
1920,Alaskan Amber,Altbier,other ale,0.053,18,3.7903641356173625
2501,Hopalicious,American Pale Ale (APA),other ale,0.057,21,3.006517649214071
1535,Kentucky Kölsch,Kölsch,other ale,0.043,23,3.9958140670349978
1149,Kentucky IPA,American IPA,IPA,0.065,40,3.0831190898083274
1474,Dusty Trail Pale Ale,American Pale Ale (APA),other ale,0.054,22,3.1474043965565737
1473,Damnesia,American IPA,IPA,0.062,44,2.394415255394822
837,Desolation IPA,American IPA,IPA,0.062,43,3.074906090166567
2592,Liberty Ale,American IPA,IPA,0.059,80,4.3361268802966135
2578,IPA,American IPA,IPA,0.065,44,2.7073897022042837
2577,Summer Wheat,American Pale Wheat Ale,other ale,0.045,30,3.1397107628545036
2103,California Lager,American Amber / Red Lager,lager,0.049,19,3.467191998395044
2102,Brotherhood Steam,California Common / Steam Beer,lager,0.0559999999999999,16,3.6786423171250093
2291,Blood Orange Gose,Gose,other ale,0.042,33,2.4652391899193633
1818,Keebarlin' Pale Ale,American Pale Ale (APA),other ale,0.042,35,4.147591338180687
1738,"the Kimmie, the Yink and the Holy Gose",Gose,other ale,0.048,20,2.995972565239723
1563,Fall Hornin',Pumpkin Ale,other ale,0.06,34,3.9602761705423637
1520,Barney Flats Oatmeal Stout,Oatmeal Stout,dark ale,0.057,13,3.425269063995731
1350,Summer Solstice,Cream Ale,other ale,0.0559999999999999,4,3.4160956740811512
1327,Hop Ottin' IPA,American IPA,IPA,0.07,80,3.5778287322837135
1326,Boont Amber Ale,American Amber / Red Ale,other ale,0.0579999999999999,15,3.8287013823474894
1221,Barney Flats Oatmeal Stout,Oatmeal Stout,dark ale,0.057,13,3.5994861863489866
1217,El Steinber Dark Lager,Vienna Lager,lager,0.055,25,2.0302684637453137
811,Boont Amber Ale (2010),American Amber / Red Ale,other ale,0.0579999999999999,15,3.702905478293088
753,Summer Solstice Cerveza Crema (2009),Cream Ale,other ale,0.0559999999999999,4,4.154996722844181
572,Barney Flats Oatmeal Stout (2012),Oatmeal Stout,dark ale,0.057,13,3.1047021801199675
523,Winter Solstice,Winter Warmer,other ale,0.069,6,3.4726926913401313
367,Hop Ottin' IPA (2011),American IPA,IPA,0.07,80,4.815419637940012
78,Boont Amber Ale (2011),American Amber / Red Ale,other ale,0.0579999999999999,15,3.558847130462976
77,Summer Solstice (2011),Cream Ale,other ale,0.0559999999999999,4,3.522412515677155
76,Poleeko Gold Pale Ale (2009),American Pale Ale (APA),other ale,0.055,28,3.7581672431366338
2337,Charlie's Rye IPA,American IPA,IPA,0.06,70,4.436218958107889
410,River Pig Pale Ale,American Pale Ale (APA),other ale,0.054,32,2.7783377049852724
409,Oaky's Oatmeal Stout,Oatmeal Stout,dark ale,0.047,36,4.156351824063132
1294,Angry Orchard Apple Ginger,Cider,other ale,0.05,28,4.6476966956910974
1293,Angry Orchard Crisp Apple,Cider,other ale,0.05,29,3.5493405145026222
1292,Angry Orchard Crisp Apple,Cider,other ale,0.05,20,4.244779037286169
2207,Golden One,Belgian Pale Ale,other ale,0.068,28,3.4887876521025327
2040,Arjuna,Witbier,other ale,0.06,29,2.998802262826215
2039,Uroboros,American Stout,dark ale,0.085,23,3.520123084149024
2511,Long Leaf,American IPA,IPA,0.071,75,3.7057341276597464
2510,Honey Badger Blonde,American Blonde Ale,other ale,0.047,19,2.4359167480677857
2509,Porter (a/k/a Black Gold Porter),American Porter,dark ale,0.06,23,3.959986013670575
413,Sky High Rye,American Pale Ale (APA),other ale,0.06,55,3.040216962487195
390,Whitsun,American Pale Wheat Ale,other ale,0.062,17,3.509024269410063
735,On-On Ale (2008),American Pale Ale (APA),other ale,0.052,25,3.404973330111839
1333,Quakertown Stout,American Double / Imperial Stout,dark ale,0.092,50,4.336065774596626
1332,Greenbelt Farmhouse Ale,Saison / Farmhouse Ale,other ale,0.051,20,3.5097719825283735
1172,Mo's Gose,Gose,other ale,0.052,10,3.895719298515513
1322,Green Bullet Organic India Pale Ale,American IPA,IPA,0.07,45,3.160347163897407
550,Rocket Girl,Kölsch,other ale,0.032,27,3.057824043519102
429,Ninja Porter,American Porter,dark ale,0.053,26,2.8660754614160457
428,Shiva IPA,American IPA,IPA,0.06,69,3.990637088964693
1640,Aslan Kölsch,Kölsch,other ale,0.048,20,3.6391923731791542
1639,Aslan IPA,American IPA,IPA,0.077,76,3.238504660128556
1638,Aslan Amber,American Amber / Red Ale,other ale,0.077,35,3.684930124950108
597,This Season's Blonde,American Blonde Ale,other ale,0.0559999999999999,27,3.2544031552663526
596,Independence Pass Ale,American IPA,IPA,0.07,67,3.3527372813244303
1580,Trolley Stop Stout,American Stout,dark ale,0.057,40,4.107706441388944
980,Bitter Bitch Imperial IPA,American Double / Imperial IPA,IPA,0.0819999999999999,138,3.876358085525017
979,Poop Deck Porter,American Porter,dark ale,0.062,35,3.931413266188322
978,Old Red Beard Amber Ale,American Amber / Red Ale,other ale,0.06,35,3.5033426920006745
2503,Hop A-Peel,American Double / Imperial IPA,IPA,0.075,115,4.78898152725273
2502,Vanilla Java Porter,American Porter,dark ale,0.055,12,3.505504810250981
2495,Michelada,Fruit / Vegetable Beer,other ale,0.052,23,3.6711986435435384
534,Dirty Blonde Ale,American Blonde Ale,other ale,0.045,8,4.6347711834928615
528,Grand Circus IPA,American IPA,IPA,0.05,62,3.1946068781969936
527,Atwater's Lager,Munich Helles Lager,lager,0.05,12,3.884102404314726
1409,Heavy Machinery IPA Series #1: Heavy Fist,American Black Ale,other ale,0.07,19,2.69600915857163
343,Fire Eagle IPA,American IPA,IPA,0.062,79,4.690043941882198
342,Peacemaker,American Pale Ale (APA),other ale,0.051,30,3.3480547573170507
341,Pearl-Snap,German Pilsener,lager,0.053,25,2.885596819729894
340,Black Thunder,Schwarzbier,lager,0.052,14,3.3357665560845096
2589,Raja,American Double / Imperial IPA,IPA,0.08,79,4.689916825442747
2546,Perzik Saison,Saison / Farmhouse Ale,other ale,0.064,25,3.4105886939413015
146,Avery Joe’s Premium American Pilsner,German Pilsener,lager,0.047,42,1.5262673401028048
108,White Rascal,Witbier,other ale,0.0559999999999999,10,4.153199930623277
107,Avery India Pale Ale,American IPA,IPA,0.063,69,3.8581281854709224
106,Ellie’s Brown Ale,American Brown Ale,dark ale,0.055,17,4.176990879814834
1620,Pumpkin Beast,Pumpkin Ale,other ale,0.062,17,4.132997017636498
1579,OktoberBeast,Märzen / Oktoberfest,lager,0.072,22,2.799552878047545
1228,Mad Beach,American Pale Wheat Ale,other ale,0.048,23,3.6452408711917177
705,Hog Wild India Pale Ale,American IPA,IPA,0.067,44,3.8381371348023827
704,Devils Tramping Ground Tripel,Tripel,other ale,0.092,5,2.8176941268639397
702,Hot Rod Red,American Amber / Red Ale,other ale,0.061,41,2.9706611723352454
2058,Palate Mallet,American Double / Imperial IPA,IPA,0.086,65,4.267620600602148
1483,Back East Porter,American Porter,dark ale,0.06,36,3.3377640291837953
1426,Back East Golden Ale,American Blonde Ale,other ale,0.049,32,3.476479762794298
1132,Misty Mountain IPA,American IPA,IPA,0.07,44,3.592629232634328
1131,Back East Ale,American Amber / Red Ale,other ale,0.05,30,2.8400405142776624
1876,Truck Stop Honey Brown Ale,English Brown Ale,dark ale,0.06,43,3.9161515018665467
1875,Naked Pig Pale Ale,American Pale Ale (APA),other ale,0.06,43,3.901143659909243
966,Topcutter India Pale Ale,American IPA,IPA,0.068,70,3.8155383296449386
965,Field 41 Pale Ale,American Pale Ale (APA),other ale,0.044,38,2.6113882629394203
2593,Grapefruit Sculpin,American IPA,IPA,0.07,78,4.087296878484218
2105,Even Keel,American IPA,IPA,0.038,40,2.2169489358449144
1401,Ballast Point Pale Ale,Kölsch,other ale,0.052,23,3.607285493979375
1400,Big Eye India Pale Ale,American IPA,IPA,0.07,75,4.375529189242573
1019,Longfin Lager,Munich Helles Lager,lager,0.046,15,3.7127726909207897
1018,Sculpin IPA,American IPA,IPA,0.07,70,3.3495536885086277
1776,All Nighter Ale,Extra Special / Strong Bitter (ESB),other ale,0.045,26,3.691933415343123
1644,Banner American Rye,Rye Beer,other ale,0.045,20,3.956765565154073
1643,Banner American Ale,American Amber / Red Ale,other ale,0.035,45,3.164792093586477
2618,Thai.p.a,American IPA,IPA,0.07,46,2.2897580390390675
2005,Barrio Blanco,American IPA,IPA,0.06,60,2.960180484743253
1343,Barrio Tucson Blonde,American Blonde Ale,other ale,0.045,27,3.7797960519265175
2404,Hop in the ‘Pool Helles,American Pilsner,lager,0.049,22,2.415085981695756
2323,Ultra Gnar Gnar IPA,American IPA,IPA,0.067,60,2.7003667132594282
2189,In-Tents India Pale Lager,American Pale Lager,lager,0.068,62,1.0
2188,Lost Meridian Wit,Witbier,other ale,0.05,20,3.063920760885158
2187,Celestial Meridian Cascadian Dark Lager,Euro Dark Lager,lager,0.051,45,1.0
1966,Wagon Party,California Common / Steam Beer,lager,0.054,55,1.0
1965,Sky-Five,American IPA,IPA,0.067,70,3.7091317165232756
1964,Stargrazer,Schwarzbier,lager,0.05,28,2.2130423178224414
1963,Wonderstuff,German Pilsener,lager,0.054,48,1.0
1855,Tarnation California-Style Lager,California Common / Steam Beer,lager,0.053,18,3.4977316500612963
1778,On the Count of 3 (2015),Hefeweizen,other ale,0.07,42,2.9291501831654623
1209,Summer Swelter,American Pale Wheat Ale,other ale,0.047,22,3.6554433698623656
954,Phantom Punch Winter Stout,Foreign / Export Stout,dark ale,0.068,22,2.324835878014304
910,Hayride Autumn Ale,Rye Beer,other ale,0.066,15,3.619261473538455
707,Celsius Summer Ale (2012),American Pale Wheat Ale,other ale,0.047,16,2.519312362452848
533,Amber Road,American Amber / Red Ale,other ale,0.055,35,3.6853687738109584
183,Pamola Xtra Pale Ale,American Pale Ale (APA),other ale,0.049,28,3.185020037399253
182,Stowaway IPA,American IPA,IPA,0.069,69,4.252410218285269
1806,Hoptopus Double IPA,American Double / Imperial IPA,IPA,0.088,108,4.696280530756935
2435,Watermelon Ale,Fruit / Vegetable Beer,other ale,0.05,10,3.1179379353020824
2423,Fenway American Pale Ale,American Pale Ale (APA),other ale,0.0579999999999999,45,2.88484142929349
2420,Back Bay IPA,American IPA,IPA,0.068,85,4.941502829437948
2419,Bunker Hill Blueberry Ale ,Other,other ale,0.048,16,3.927895243244033
2494,Oberon,American Pale Wheat Ale,other ale,0.0579999999999999,22,3.4127240112204933
2325,Smitten,Rye Beer,other ale,0.06,18,3.9394718950041874
2022,Winter White,Witbier,other ale,0.05,33,3.808722282773728
1989,Oberon,American Pale Wheat Ale,other ale,0.0579999999999999,16,3.3854745939092434
1988,Two Hearted,American IPA,IPA,0.07,68,4.276135124403907
1955,Best Brown,American Brown Ale,dark ale,0.0579999999999999,24,3.7013190523474666
2558,Moar,English India Pale Ale (IPA),IPA,0.044,44,3.146222039207188
2557,Uber Lupin Schwarz IPA,American Double / Imperial IPA,IPA,0.083,41,3.1531452365844643
2556,Nordic Blonde,American Blonde Ale,other ale,0.057,27,3.610352385274801
2496,Cold Press,American Black Ale,other ale,0.06,29,3.1382274218173496
2410,Harness the Winter,American IPA,IPA,0.072,87,4.784523675916891
1902,14° ESB ,Extra Special / Strong Bitter (ESB),other ale,0.0559999999999999,32,2.935675807246519
1901,Bent Hop Golden IPA,American IPA,IPA,0.062,68,4.168204896121287
1261,Bent Paddle Black Ale,American Black Ale,other ale,0.06,34,3.17348052966354
1253,Venture Pils,German Pilsener,lager,0.05,38,1.9415805268129303
1900,Lost Sailor IPA,English India Pale Ale (IPA),IPA,0.055,40,3.08479445451353
1317,Steel Rail Extra Pale Ale,American Pale Ale (APA),other ale,0.053,20,4.034648686382436
1158,La Frontera Premium IPA,American IPA,IPA,0.078,67,3.175809290406056
1157,Tejas Lager,Czech Pilsener,lager,0.047,9,3.4999721316242782
1156,Number 22 Porter,American Porter,dark ale,0.064,28,3.7016491942873007
1155,Big Bend Hefeweizen,Hefeweizen,other ale,0.0559999999999999,35,3.2189894691635197
1154,Terlingua Gold,American Blonde Ale,other ale,0.06,34,3.1184552407359893
2104,Aprè Shred,American Strong Ale,other ale,0.081,17,3.4131742658164974
1762,Hemlock Double IPA,American Double / Imperial IPA,IPA,0.095,104,4.851478305686705
1422,West Portal Colorado Common Summer Ale,California Common / Steam Beer,lager,0.0409999999999999,15,3.883080889314165
1067,Disconnected Red,American Amber / Red Ale,other ale,0.067,85,2.6298815874468087
1003,Big Elm IPA,American IPA,IPA,0.07,70,3.374705782082684
1002,Gerry Dog Stout,American Stout,dark ale,0.065,28,2.9037074800196696
1001,413 Farmhouse Ale,Saison / Farmhouse Ale,other ale,0.06,30,3.3937765768322956
2639,Dark Star,American Stout,dark ale,0.08,54,3.9972373536691057
2469,Ryecoe,American IPA,IPA,0.062,61,4.113472633073627
2586,Blueberry Blonde,Fruit / Vegetable Beer,other ale,0.06,34,2.9787516283279345
2585,Galaxy IPA,American IPA,IPA,0.075,60,3.6416952958376063
643,Big River Pilsner,Czech Pilsener,lager,0.05,32,2.712598011747158
632,House Brand IPA,American IPA,IPA,0.06,55,3.9700807694155302
1714,Big Sky IPA,American IPA,IPA,0.062,65,3.0522529227653097
1713,Scape Goat Pale Ale,English Pale Ale,other ale,0.05,40,3.930559577200268
1712,Montana Trout Slayer Ale,American Pale Wheat Ale,other ale,0.05,35,3.41722552403824
1711,Moose Drool Brown Ale,American Brown Ale,dark ale,0.051,26,3.3989793701413826
1456,Powder Hound Winter Ale,English Strong Ale,other ale,0.072,60,2.9098391735550444
767,Moose Drool Brown Ale (2011),American Brown Ale,dark ale,0.051,26,3.483845000579863
766,Montana Trout Slayer Ale (2012),American Pale Wheat Ale,other ale,0.05,35,2.6927080318907386
579,Big Sky IPA (2012),American IPA,IPA,0.062,65,3.8053705199215706
168,Summer Honey,American Blonde Ale,other ale,0.047,27,4.289693994314302
159,Scape Goat Pale Ale (2010),English Pale Ale,other ale,0.05,40,3.5261353025583397
35,Montana Trout Slayer Ale (2009),American Pale Wheat Ale,other ale,0.05,35,2.995954817865375
34,Moose Drool Brown Ale (2009),American Brown Ale,dark ale,0.051,26,3.5243432059507946
2096,Arcus IPA,American IPA,IPA,0.069,81,4.151444931484079
2095,Wavemaker,American Amber / Red Ale,other ale,0.0579999999999999,38,2.6469483282722357
1257,Jack Pine Savage,American Pale Ale (APA),other ale,0.053,43,3.630749471660874
1256,Forest Fire Imperial Smoked Rye,Rye Beer,other ale,0.099,85,2.4414429999512057
1255,Bad Axe Imperial IPA,American Double / Imperial IPA,IPA,0.098,76,3.54020205091417
986,Morning Wood,Oatmeal Stout,dark ale,0.055,35,4.155024434969233
985,Bark Bite IPA,American IPA,IPA,0.066,50,2.9407940324302997
2508,Jalapeno Pale Ale,American Pale Ale (APA),other ale,0.055,45,4.25494218841709
1441,Blown Out Brown,American Brown Ale,dark ale,0.052,37,3.301537613271879
1413,Single Hop Ale,American Pale Ale (APA),other ale,0.063,30,3.1950829959626805
1411,Sawtooth Ale,American Blonde Ale,other ale,0.054,35,3.7291008788229636
2620,Saucy Intruder,Rye Beer,other ale,0.072,75,3.074770135351036
2412,Deception,American Blonde Ale,other ale,0.045,16,3.574604573314282
1898,Blackmarket Rye IPA,American IPA,IPA,0.075,35,2.6592437617159965
1897,Black Market Hefeweizen,Hefeweizen,other ale,0.05,8,2.771498058023665
1896,Aftermath Pale Ale,American Pale Ale (APA),other ale,0.0579999999999999,44,3.2320222981828004
1850,American India Red Ale,American Strong Ale,other ale,0.071,83,3.4318015462983413
1849,American Red Porter,American Porter,dark ale,0.071,45,3.9156865677663726
1848,American Red Saison,Saison / Farmhouse Ale,other ale,0.078,34,3.950030774182091
1847,Colorado Red Ale,American Amber / Red Ale,other ale,0.066,44,3.19901727703813
2485,Saddle Bronc Brown Ale,American Brown Ale,dark ale,0.048,16,3.790277412174955
2484,Bomber Mountain Amber Ale,American Amber / Red Ale,other ale,0.046,20,3.889502215773338
2449,Flying Sailor,Rye Beer,other ale,0.073,16,3.588901689494892
2634,Nordskye ,American IPA,IPA,0.048,47,2.430706748199081
2153,North Third Stout,Foreign / Export Stout,dark ale,0.06,30,3.7824493693893793
1953,Honey Lav,American Pale Wheat Ale,other ale,0.052,24,3.6171465978013617
1496,Coconut Brown Ale,American Brown Ale,dark ale,0.068,22,3.7412292625819505
1481,51K IPA,American IPA,IPA,0.07,51,2.9951290050615116
1480,Grand Rabbits,Cream Ale,other ale,0.055,30,3.001349873053883
1564,1800 Big Log Wheat (2012),American Pale Wheat Ale,other ale,0.05,29,3.8277190733564814
1541,Double Play Pilsner,American Pilsner,lager,,8,3.8678094565556007
1321,Brewerhood Brown Ale,American Brown Ale,dark ale,0.055,37,3.1260148053950547
1320,Last Call Imperial Amber Ale,American Amber / Red Ale,other ale,0.08,22,2.7649894156865593
1319,Pernicious Double IPA,American Double / Imperial IPA,IPA,0.096,49,3.4672717957177634
1303,6-4-3 Double Play Pilsner,German Pilsener,lager,0.052,9,3.734283837567157
1025,N Street Drive-In 50th Anniversary IPA,American Double / Imperial IPA,IPA,,54,2.9718881948476152
1012,467 Ethan's Stout,American Stout,dark ale,0.05,27,4.367890884959933
942,1335 Wicked Snout,Saison / Farmhouse Ale,other ale,0.064,21,3.4835241155187613
937,543 Skull Creek Fresh Hopped Pale Ale,American Pale Ale (APA),other ale,0.045,26,2.923958288573672
888,1327 Pod's ESB,Extra Special / Strong Bitter (ESB),other ale,0.0559999999999999,37,3.0983800926140397
886,1327 Pod's ESB,Extra Special / Strong Bitter (ESB),other ale,0.0559999999999999,37,3.175126672499172
612,1327 Pod's ESB,Extra Special / Strong Bitter (ESB),other ale,0.0559999999999999,37,3.270795328217135
611,834 Happy As Ale,American Pale Ale (APA),other ale,0.046,35,3.27845631606376
1372,Yellow Collar,Mead,other ale,0.059,30,3.9833838374246495
1371,Green Collar,Mead,other ale,0.059,27,3.541702168415969
1812,Quarter Mile Double IPA,American Double / Imperial IPA,IPA,0.08,80,3.4329492145151104
1547,Full Nelson Pale Ale,American Pale Ale (APA),other ale,0.059,60,3.6299044290247027
1546,Steel Wheels ESB,Extra Special / Strong Bitter (ESB),other ale,0.065,30,3.725178315119326
1545,Blue Mountain Classic Lager,Euro Pale Lager,lager,0.053,22,3.7021702795127505
119,Full Nelson Pale Ale (2010),American Pale Ale (APA),other ale,0.059,60,3.1477159922201876
1408,Kölsch 151,Kölsch,other ale,0.049,16,2.7062807250332552
2490,Professor Black,American Stout,dark ale,,31,4.041099293491367
2489,Little Boss,American Pale Wheat Ale,other ale,,15,4.066819191978125
2488,Van Dayum!,American Amber / Red Ale,other ale,,32,3.5626133590918316
2487,Spirit Animal,American Pale Ale (APA),other ale,,31,3.2275575190604284
939,Toxic Sludge,American Black Ale,other ale,0.07,22,2.341724303546461
692,Blue Point White IPA,American White IPA,IPA,0.06,40,1.8143388662149962
667,Blue Point Summer Ale,American Blonde Ale,other ale,0.044,16,3.798015435695883
665,Toasted Lager,Vienna Lager,lager,0.055,28,2.3552173903685127
1607,Bohemian Export Lager,Dortmunder / Export Lager,lager,0.06,24,2.2968385992253992
1597,Altus Bohemes Altbier,Altbier,other ale,0.053,25,2.6530033235135404
344,Cherny Bock,Schwarzbier,lager,0.04,9,3.659800564094518
89,Czech Pilsner,Czech Pilsener,lager,0.05,12,3.992822522236101
88,Viennese Lager,Vienna Lager,lager,0.05,16,2.9372268033438234
1569,Mad Manatee IPA,American IPA,IPA,0.065,58,4.142359228524432
1568,Killer Whale Cream Ale,Cream Ale,other ale,0.055,18,3.4617786986682964
1188,Duke's Cold Nose Brown Ale,American Brown Ale,dark ale,0.06,38,3.924641550604538
1891,Longhop IPA,American IPA,IPA,0.042,30,2.271375736223099
1890,Lucky Buck,Irish Dry Stout,dark ale,0.04,34,3.881088406848623
577,Bomb Lager (New Recipe),Munich Helles Lager,lager,0.051,19,3.793664434255172
513,Bomb Lager (Old Recipe),Munich Helles Lager,lager,0.045,27,1.490235666016546
2422,Firestarter India Pale Ale,American IPA,IPA,0.066,72,3.355304763621948
1727,Kilt Dropper Scotch Ale,Scotch Ale / Wee Heavy,dark ale,0.075,22,2.953003249999361
1614,Wood Splitter Pilsner,Czech Pilsener,lager,0.048,30,1.9638224681935834
1613,Gyptoberfest,Märzen / Oktoberfest,lager,0.0559999999999999,26,2.051625086838012
1549,Farmer Wirtz India Pale Ale,English India Pale Ale (IPA),IPA,0.07,94,4.999964670804339
1548,Slow & Steady Golden Ale,American Blonde Ale,other ale,0.047,20,4.303650888185061
1517,Pink-I Raspberry IPA,American IPA,IPA,0.068,48,2.3954886360386567
1500,Moe's Original Bar B Que 'Bama Brew Golden Ale,American Blonde Ale,other ale,0.047,15,3.675261000586526
